bus_name,group,purchase_date,1st_rep_date,odometer_1st,2and_rep_date,odometer_2and,data_begins_date
4403,1,1983-05,,,,,1983-05
4404,1,1983-05,,,,,1983-05
4405,1,1983-05,,,,,1983-05
4406,1,1983-05,,,,,1983-05
4407,1,1983-05,,,,,1983-05
4408,1,1983-05,,,,,1983-05
4409,1,1983-05,,,,,1983-05
4410,1,1983-05,,,,,1983-05
4411,1,1983-05,,,,,1983-05
4412,1,1983-05,,,,,1983-05
4413,1,1983-05,,,,,1983-05
4414,1,1983-05,,,,,1983-05
4415,1,1983-05,,,,,1983-05
4416,1,1983-05,,,,,1983-05
4417,1,1983-05,,,,,1983-05
2386,2,1981-05,,,,,1981-07
2387,2,1981-05,,,,,1981-07
2388,2,1981-05,,,,,1981-07
2389,2,1981-05,,,,,1981-07
4338,3,1979-03,1984-03,220900.0,,,1979-08
4339,3,1979-03,1983-08,186600.0,,,1979-08
4340,3,1979-03,,,,,1979-08
4341,3,1979-03,,,,,1979-08
4342,3,1979-03,1984-03,209900.0,,,1979-08
4343,3,1979-03,1984-11,198800.0,,,1979-08
4344,3,1979-03,,,,,1979-08
4345,3,1979-03,1983-06,187700.0,,,1979-08
4346,3,1979-03,,,,,1979-08
4347,3,1979-03,1982-12,162500.0,,,1979-08
4348,3,1979-03,1983-05,187800.0,,,1979-08
4349,3,1979-03,,,,,1979-08
4350,3,1979-03,,,,,1979-08
4351,3,1979-03,1982-04,124800.0,,,1979-08
4352,3,1979-03,,,,,1979-08
4353,3,1979-03,,,,,1979-08
4354,3,1979-03,,,,,1979-08
4355,3,1979-03,,,,,1979-08
4356,3,1979-03,1984-12,250700.0,,,1979-08
4357,3,1979-03,,,,,1979-08
4358,3,1979-03,,,,,1979-08
4359,3,1979-03,1984-01,187700.0,,,1979-08
4360,3,1979-03,1985-03,243400.0,,,1979-08
4361,3,1979-03,1984-06,208100.0,,,1979-08
4362,3,1979-03,1983-02,146500.0,,,1979-08
4363,3,1979-03,,,,,1979-08
4364,3,1979-03,1984-11,215900.0,,,1979-08
4365,3,1979-03,1984-01,204800.0,,,1979-08
4366,3,1979-03,1982-10,156600.0,,,1979-08
4367,3,1979-03,1984-10,235200.0,,,1979-08
4368,3,1979-03,,,,,1979-08
4369,3,1979-03,,,,,1979-08
4370,3,1979-03,,,,,1979-08
4371,3,1979-03,1984-10,232100.0,,,1979-08
4372,3,1979-03,1985-01,232700.0,,,1979-08
4373,3,1979-03,1984-09,229200.0,,,1979-08
4374,3,1979-03,1983-04,159200.0,,,1979-08
4375,3,1979-03,1984-08,236500.0,,,1979-08
4376,3,1979-03,1982-10,141900.0,,,1979-08
4377,3,1979-03,1982-07,149900.0,,,1979-08
4378,3,1979-03,,,,,1979-08
4379,3,1979-03,,,,,1979-08
4380,3,1979-03,1983-11,194900.0,,,1979-08
4381,3,1979-03,,,,,1979-08
4382,3,1979-03,1985-04,273400.0,,,1979-08
4383,3,1979-03,,,,,1979-08
4384,3,1979-03,,,,,1979-08
4385,3,1979-03,1985-01,215100.0,,,1979-08
5297,4,1975-08,1979-04,153400.0,,,1975-09
5298,4,1975-08,,,,,1975-09
5299,4,1975-08,1979-09,209100.0,,,1975-09
5300,4,1975-08,1980-09,215000.0,,,1975-09
5301,4,1975-08,1978-12,168600.0,,,1975-09
5302,4,1975-08,1978-02,128800.0,,,1975-09
5303,4,1975-08,1981-12,285900.0,,,1975-09
5304,4,1975-08,1982-02,290000.0,,,1975-09
5305,4,1975-07,1983-06,387300.0,,,1975-09
5306,4,1975-08,1979-07,235400.0,,,1975-09
5307,4,1975-08,1981-04,251200.0,,,1975-09
5308,4,1975-07,1980-01,226100.0,,,1975-09
5309,4,1975-08,1982-09,300100.0,,,1975-09
5310,4,1975-08,1980-12,246600.0,,,1975-09
5311,4,1975-08,1981-07,272500.0,,,1975-09
5312,4,1975-08,1984-08,328600.0,,,1975-09
5313,4,1975-08,1981-06,260000.0,,,1975-09
5314,4,1975-08,1985-03,358600.0,,,1975-09
5315,4,1975-08,1980-12,274700.0,,,1975-09
5316,4,1975-08,1977-11,121300.0,1982-05,293400.0,1975-09
5317,4,1975-08,1981-12,292400.0,,,1975-09
5318,4,1975-08,1984-07,363200.0,,,1975-09
5319,4,1975-08,1981-04,211500.0,,,1975-09
5320,4,1975-08,1985-02,324900.0,,,1975-09
5321,4,1975-08,1982-10,263100.0,,,1975-09
5322,4,1975-08,1983-04,299200.0,,,1975-09
5323,4,1975-08,1982-08,267600.0,,,1975-09
5324,4,1975-08,,,,,1975-09
5325,4,1975-08,1982-01,270600.0,,,1975-09
5326,4,1975-08,1982-03,264100.0,,,1975-09
5327,4,1975-09,,,,,1975-09
5328,4,1975-08,1983-02,281500.0,,,1975-09
5329,4,1975-08,1982-01,257400.0,,,1975-09
5330,4,1975-08,,,,,1975-09
5331,4,1975-08,1984-02,333800.0,,,1975-09
5332,4,1975-08,1979-06,177500.0,,,1975-09
5333,4,1975-08,,,,,1975-09
5275,5,1974-10,1982-09,234800.0,,,1974-12
5276,5,1974-11,1985-05,322500.0,,,1974-12
5277,5,1974-08,1982-01,224400.0,,,1974-12
5278,5,1974-10,1981-05,250600.0,,,1974-12
5279,5,1974-10,1977-04,118000.0,,,1974-12
5280,5,1974-08,1984-12,306300.0,,,1974-12
5281,5,1974-08,1978-03,174400.0,,,1974-12
5282,5,1974-08,1981-01,241200.0,,,1974-12
5283,5,1974-08,1983-08,312700.0,,,1974-12
5284,5,1974-08,,,,,1974-12
5285,5,1974-11,1981-09,255100.0,,,1974-12
5286,5,1974-08,1980-11,258200.0,,,1974-12
4287,6,1974-10,1984-11,224000.0,,,1974-12
4288,6,1974-10,1978-10,82400.0,,,1974-12
4289,6,1974-08,1985-02,237200.0,,,1974-12
4290,6,1974-08,,,,,1974-12
4291,6,1974-10,1978-10,106400.0,,,1974-12
4292,6,1974-08,,,,,1974-12
4293,6,1974-08,1980-09,171500.0,,,1974-12
4294,6,1974-10,1979-02,125500.0,,,1974-12
4295,6,1974-10,1978-10,108500.0,,,1974-12
4296,6,1974-10,,,,,1974-12
5257,7,1972-05,1979-06,242400.0,1984-08,384900.0,1974-12
5258,7,1972-05,1976-02,170800.0,1984-02,391500.0,1974-12
5259,7,1972-05,1977-06,202400.0,1983-07,364300.0,1974-12
5260,7,1972-05,1977-01,189000.0,1982-09,361600.0,1974-12
5261,7,1972-05,1977-03,212100.0,1984-11,407300.0,1974-12
5262,7,1972-05,1978-05,241100.0,,,1974-12
5263,7,1972-05,1975-09,184700.0,1984-04,334600.0,1974-12
5264,7,1972-05,1976-09,204000.0,,,1974-12
5265,7,1972-05,1977-04,219600.0,,,1974-12
5266,7,1972-05,1977-04,212700.0,,,1974-12
5267,7,1972-05,1977-05,233300.0,,,1974-12
5268,7,1972-05,1976-04,215300.0,1982-05,340100.0,1974-12
5269,7,1972-05,1977-09,281000.0,,,1974-12
5270,7,1972-05,1978-02,265000.0,,,1974-12
5271,7,1972-05,1979-04,331800.0,,,1974-12
5272,7,1972-05,1975-10,205400.0,1983-12,413100.0,1974-12
5273,7,1972-05,1977-09,262200.0,1983-04,383200.0,1974-12
5274,7,1972-05,1978-03,272900.0,,,1974-12
4239,8,1972-02,1976-01,166100.0,,,1974-12
4240,8,1972-02,1975-01,177900.0,,,1974-12
4241,8,1972-02,1975-05,171300.0,,,1974-12
4242,8,1972-02,1976-02,185700.0,,,1974-12
4243,8,1972-02,1976-04,186100.0,,,1974-12
4244,8,1972-02,1978-03,217000.0,,,1974-12
4245,8,1972-02,1975-01,184400.0,,,1974-12
4246,8,1972-02,1975-03,134400.0,,,1974-12
4247,8,1972-02,1980-09,257600.0,,,1974-12
4248,8,1972-02,1975-02,159700.0,,,1974-12
4249,8,1972-02,1975-07,182100.0,,,1974-12
4250,8,1972-02,1980-04,261500.0,,,1974-12
4251,8,1972-02,1979-01,297500.0,,,1974-12
4252,8,1972-02,1976-05,190700.0,,,1974-12
4253,8,1972-02,1977-01,151500.0,1984-09,334400.0,1974-12
4254,8,1972-02,1976-03,168400.0,,,1974-12
4255,8,1972-02,1976-01,132000.0,,,1974-12
4256,8,1972-02,1977-09,140500.0,,,1974-12
